"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","168","5","335","0","0","n/e","325"
"BZN|PT","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","157","6","218","0","0","n/e","374"
"BZN|PT","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","101","60","248","0","0","n/e","420"
"BZN|PT","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","100","33","184","0","0","n/e","433"
"BZN|PT","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","0","663","190","3","0","n/e","450"
"BZN|PT","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","0","945","137","52","0","n/e","435"
"BZN|PT","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","0","1235","167","53","0","n/e","395"
"BZN|PT","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","0","1139","275","0","0","n/e","458"
"BZN|PT","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","0","1044","420","10","0","n/e","492"
"BZN|PT","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","0","1325","433","10","33","n/e","464"
"BZN|PT","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","0","1300","459","14","126","n/e","422"
"BZN|PT","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","0","110","522","29","191","n/e","375"
"BZN|PT","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","163","12","440","208","225","n/e","370"
"BZN|PT","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","142","12","377","279","240","n/e","409"
"BZN|PT","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","31","125","320","84","212","n/e","420"
"BZN|PT","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","62","630","364","0","164","n/e","435"
"BZN|PT","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","99","588","434","19","87","n/e","493"
"BZN|PT","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","328","6","467","162","24","n/e","598"
"BZN|PT","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","394","3","809","279","0","n/e","772"
"BZN|PT","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","492","1","683","240","0","n/e","1114"
"BZN|PT","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","369","2","702","190","0","n/e","1442"
"BZN|PT","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","293","2","721","150","0","n/e","1794"
"BZN|PT","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","256","2","426","73","0","n/e","2094"
"BZN|PT","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","237","3","385","34","0","n/e","2377"
"BZN|PT","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","87","4","233","0","0","n/e","2691"
"BZN|PT","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","0","186","111","0","0","n/e","3019"
"BZN|PT","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","0","597","21","0","0","n/e","3265"
"BZN|PT","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","0","1663","22","0","0","n/e","3468"
"BZN|PT","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","0","1719","20","0","0","n/e","3589"
"BZN|PT","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","0","1522","21","0","0","n/e","3778"
"BZN|PT","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","0","826","25","0","0","n/e","3851"
"BZN|PT","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","0","451","160","0","0","n/e","3918"
"BZN|PT","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","0","398","421","7","0","n/e","4219"
"BZN|PT","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","48","397","726","69","12","n/e","4471"
"BZN|PT","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","230","222","829","88","57","n/e","4451"
"BZN|PT","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","304","94","919","50","85","n/e","4420"
"BZN|PT","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","634","3","845","34","99","n/e","4305"
"BZN|PT","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","750","3","670","52","75","n/e","4094"
"BZN|PT","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","192","4","652","9","42","n/e","4061"
"BZN|PT","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","190","4","559","9","28","n/e","4135"
"BZN|PT","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","217","3","543","27","20","n/e","4187"
"BZN|PT","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","462","3","591","275","5","n/e","4151"
"BZN|PT","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","564","1","738","284","0","n/e","4241"
"BZN|PT","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","642","1","992","220","0","n/e","4329"
"BZN|PT","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","590","1","1005","166","0","n/e","4292"
"BZN|PT","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","287","1","1272","77","0","n/e","4292"
"BZN|PT","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","13","2","1089","17","0","n/e","4160"
"BZN|PT","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","0","4","756","1","0","n/e","4063"
"BZN|PT","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","0","606","290","4","0","n/e","3926"
"BZN|PT","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","0","1915","83","7","0","n/e","3786"
"BZN|PT","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","0","2003","27","10","0","n/e","3495"
"BZN|PT","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","0","2206","25","10","0","n/e","3242"
"BZN|PT","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","0","2120","23","10","0","n/e","3120"
"BZN|PT","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","0","1675","26","33","0","n/e","2862"
"BZN|PT","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","10","42","382","120","0","n/e","2539"
"BZN|PT","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","323","3","662","235","0","n/e","2335"
"BZN|PT","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","833","2","696","372","0","n/e","2196"
"BZN|PT","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","1220","2","1069","513","7","n/e","1976"
"BZN|PT","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","1341","2","1148","554","34","n/e","1760"
"BZN|PT","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","1214","2","1100","411","62","n/e","1523"
"BZN|PT","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","1095","2","933","453","101","n/e","1314"
"BZN|PT","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","1155","1","1033","177","107","n/e","1050"
"BZN|PT","03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","964","2","1038","204","104","n/e","929"
"BZN|PT","03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","791","2","907","532","74","n/e","787"
"BZN|PT","03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","987","1","826","648","48","n/e","660"
"BZN|PT","03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","1719","0","844","812","16","n/e","612"
"BZN|PT","03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","1839","0","1109","834","1","n/e","618"
"BZN|PT","03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","1855","0","1150","957","0","n/e","620"
"BZN|PT","03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","1918","0","1291","905","0","n/e","617"
"BZN|PT","03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","1404","1","1114","403","0","n/e","534"
"BZN|PT","03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","1218","2","1057","338","0","n/e","484"
"BZN|PT","03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","845","2","938","281","0","n/e","424"
"BZN|PT","04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","267","3","619","225","0","n/e","384"
"BZN|PT","04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","52","56","349","26","0","n/e","356"
"BZN|PT","04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","0","502","51","0","0","n/e","343"
"BZN|PT","04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","0","724","28","0","0","n/e","321"
"BZN|PT","04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","61","892","52","0","0","n/e","324"
"BZN|PT","04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","49","937","81","1","0","n/e","273"
"BZN|PT","04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","104","51","176","95","0","n/e","240"
"BZN|PT","04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","1000","8","764","573","0","n/e","209"
"BZN|PT","04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","1141","3","661","532","0","n/e","194"
"BZN|PT","04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","1124","1","743","613","16","n/e","187"
"BZN|PT","04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","923","2","1072","599","68","n/e","169"
"BZN|PT","04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","960","3","1025","263","107","n/e","144"
"BZN|PT","04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","866","3","976","237","133","n/e","117"
"BZN|PT","04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","519","3","722","206","141","n/e","88"
"BZN|PT","04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","71","4","506","178","148","n/e","79"
"BZN|PT","04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","0","4","405","93","132","n/e","86"
"BZN|PT","04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","13","4","437","201","99","n/e","89"
"BZN|PT","04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","809","4","849","589","33","n/e","106"
"BZN|PT","04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","1376","1","1148","622","1","n/e","119"
"BZN|PT","04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","1678","1","1291","644","0","n/e","140"
"BZN|PT","04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","1387","2","1273","358","0","n/e","170"
"BZN|PT","04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","441","5","1046","246","0","n/e","190"
"BZN|PT","04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","251","7","478","105","0","n/e","218"
"BZN|PT","04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","116","7","461","72","0","n/e","235"
"BZN|PT","05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","232","5","342","51","0","n/e","223"
"BZN|PT","05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","137","9","180","0","0","n/e","203"
"BZN|PT","05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","0","247","215","0","0","n/e","191"
"BZN|PT","05.01.2017 03:00 - 05.01.2017 04:00 (CET/CEST)","0","561","232","0","0","n/e","210"
"BZN|PT","05.01.2017 04:00 - 05.01.2017 05:00 (CET/CEST)","0","543","28","0","0","n/e","286"
"BZN|PT","05.01.2017 05:00 - 05.01.2017 06:00 (CET/CEST)","7","647","28","2","0","n/e","319"
"BZN|PT","05.01.2017 06:00 - 05.01.2017 07:00 (CET/CEST)","93","274","178","23","0","n/e","347"
"BZN|PT","05.01.2017 07:00 - 05.01.2017 08:00 (CET/CEST)","54","4","473","196","0","n/e","364"
"BZN|PT","05.01.2017 08:00 - 05.01.2017 09:00 (CET/CEST)","595","4","850","333","0","n/e","409"
"BZN|PT","05.01.2017 09:00 - 05.01.2017 10:00 (CET/CEST)","1126","3","1151","541","16","n/e","507"
"BZN|PT","05.01.2017 10:00 - 05.01.2017 11:00 (CET/CEST)","1186","3","1166","680","70","n/e","507"
"BZN|PT","05.01.2017 11:00 - 05.01.2017 12:00 (CET/CEST)","1430","1","1289","466","121","n/e","437"
"BZN|PT","05.01.2017 12:00 - 05.01.2017 13:00 (CET/CEST)","1104","2","1318","555","146","n/e","363"
"BZN|PT","05.01.2017 13:00 - 05.01.2017 14:00 (CET/CEST)","817","4","1252","558","148","n/e","245"
"BZN|PT","05.01.2017 14:00 - 05.01.2017 15:00 (CET/CEST)","565","4","1205","501","167","n/e","251"
"BZN|PT","05.01.2017 15:00 - 05.01.2017 16:00 (CET/CEST)","77","4","993","316","168","n/e","333"
"BZN|PT","05.01.2017 16:00 - 05.01.2017 17:00 (CET/CEST)","165","4","863","380","129","n/e","414"
"BZN|PT","05.01.2017 17:00 - 05.01.2017 18:00 (CET/CEST)","719","4","1589","561","50","n/e","485"
"BZN|PT","05.01.2017 18:00 - 05.01.2017 19:00 (CET/CEST)","1299","2","1701","677","1","n/e","760"
"BZN|PT","05.01.2017 19:00 - 05.01.2017 20:00 (CET/CEST)","1408","1","1672","658","0","n/e","1186"
"BZN|PT","05.01.2017 20:00 - 05.01.2017 21:00 (CET/CEST)","1342","1","1499","562","0","n/e","1477"
"BZN|PT","05.01.2017 21:00 - 05.01.2017 22:00 (CET/CEST)","161","3","1129","432","0","n/e","1682"
"BZN|PT","05.01.2017 22:00 - 05.01.2017 23:00 (CET/CEST)","34","3","724","262","0","n/e","1763"
"BZN|PT","05.01.2017 23:00 - 06.01.2017 00:00 (CET/CEST)","62","20","772","454","0","n/e","1838"
"BZN|PT","06.01.2017 00:00 - 06.01.2017 01:00 (CET/CEST)","0","554","290","71","0","n/e","1832"
"BZN|PT","06.01.2017 01:00 - 06.01.2017 02:00 (CET/CEST)","0","946","228","0","0","n/e","1805"
"BZN|PT","06.01.2017 02:00 - 06.01.2017 03:00 (CET/CEST)","0","1253","201","0","0","n/e","1755"
"BZN|PT","06.01.2017 03:00 - 06.01.2017 04:00 (CET/CEST)","0","1365","73","0","0","n/e","1780"
"BZN|PT","06.01.2017 04:00 - 06.01.2017 05:00 (CET/CEST)","0","1456","66","0","0","n/e","1790"
"BZN|PT","06.01.2017 05:00 - 06.01.2017 06:00 (CET/CEST)","0","1450","76","0","0","n/e","1749"
"BZN|PT","06.01.2017 06:00 - 06.01.2017 07:00 (CET/CEST)","0","1172","116","0","0","n/e","1857"
"BZN|PT","06.01.2017 07:00 - 06.01.2017 08:00 (CET/CEST)","0","197","263","29","0","n/e","1949"
"BZN|PT","06.01.2017 08:00 - 06.01.2017 09:00 (CET/CEST)","0","8","526","48","0","n/e","1840"
"BZN|PT","06.01.2017 09:00 - 06.01.2017 10:00 (CET/CEST)","68","7","660","308","33","n/e","1613"
"BZN|PT","06.01.2017 10:00 - 06.01.2017 11:00 (CET/CEST)","325","7","791","468","118","n/e","1344"
"BZN|PT","06.01.2017 11:00 - 06.01.2017 12:00 (CET/CEST)","524","5","885","420","182","n/e","1143"
"BZN|PT","06.01.2017 12:00 - 06.01.2017 13:00 (CET/CEST)","447","5","851","418","243","n/e","946"
"BZN|PT","06.01.2017 13:00 - 06.01.2017 14:00 (CET/CEST)","432","30","860","408","283","n/e","756"
"BZN|PT","06.01.2017 14:00 - 06.01.2017 15:00 (CET/CEST)","96","254","682","196","280","n/e","678"
"BZN|PT","06.01.2017 15:00 - 06.01.2017 16:00 (CET/CEST)","63","332","307","34","260","n/e","644"
"BZN|PT","06.01.2017 16:00 - 06.01.2017 17:00 (CET/CEST)","70","220","256","74","197","n/e","629"
"BZN|PT","06.01.2017 17:00 - 06.01.2017 18:00 (CET/CEST)","459","159","423","300","75","n/e","757"
"BZN|PT","06.01.2017 18:00 - 06.01.2017 19:00 (CET/CEST)","915","4","1094","441","2","n/e","977"
"BZN|PT","06.01.2017 19:00 - 06.01.2017 20:00 (CET/CEST)","1150","1","853","495","0","n/e","1048"
"BZN|PT","06.01.2017 20:00 - 06.01.2017 21:00 (CET/CEST)","1373","1","1003","503","0","n/e","1090"
"BZN|PT","06.01.2017 21:00 - 06.01.2017 22:00 (CET/CEST)","1319","1","884","392","0","n/e","1118"
"BZN|PT","06.01.2017 22:00 - 06.01.2017 23:00 (CET/CEST)","1037","1","786","291","0","n/e","1223"
"BZN|PT","06.01.2017 23:00 - 07.01.2017 00:00 (CET/CEST)","519","12","708","203","0","n/e","1273"
"BZN|PT","07.01.2017 00:00 - 07.01.2017 01:00 (CET/CEST)","63","101","621","48","0","n/e","1308"
"BZN|PT","07.01.2017 01:00 - 07.01.2017 02:00 (CET/CEST)","87","6","205","113","0","n/e","1255"
"BZN|PT","07.01.2017 02:00 - 07.01.2017 03:00 (CET/CEST)","0","480","151","0","0","n/e","1239"
"BZN|PT","07.01.2017 03:00 - 07.01.2017 04:00 (CET/CEST)","0","1121","75","0","0","n/e","1178"
"BZN|PT","07.01.2017 04:00 - 07.01.2017 05:00 (CET/CEST)","0","1327","66","0","0","n/e","1176"
"BZN|PT","07.01.2017 05:00 - 07.01.2017 06:00 (CET/CEST)","0","1373","78","0","0","n/e","1198"
"BZN|PT","07.01.2017 06:00 - 07.01.2017 07:00 (CET/CEST)","0","839","69","0","0","n/e","1311"
"BZN|PT","07.01.2017 07:00 - 07.01.2017 08:00 (CET/CEST)","0","847","192","0","0","n/e","1296"
"BZN|PT","07.01.2017 08:00 - 07.01.2017 09:00 (CET/CEST)","0","327","206","10","0","n/e","1315"
"BZN|PT","07.01.2017 09:00 - 07.01.2017 10:00 (CET/CEST)","33","273","491","11","44","n/e","1286"
"BZN|PT","07.01.2017 10:00 - 07.01.2017 11:00 (CET/CEST)","625","12","761","345","171","n/e","1218"
"BZN|PT","07.01.2017 11:00 - 07.01.2017 12:00 (CET/CEST)","197","110","765","252","259","n/e","1038"
"BZN|PT","07.01.2017 12:00 - 07.01.2017 13:00 (CET/CEST)","172","126","756","210","297","n/e","824"
"BZN|PT","07.01.2017 13:00 - 07.01.2017 14:00 (CET/CEST)","58","299","703","155","307","n/e","683"
"BZN|PT","07.01.2017 14:00 - 07.01.2017 15:00 (CET/CEST)","61","129","518","41","301","n/e","539"
"BZN|PT","07.01.2017 15:00 - 07.01.2017 16:00 (CET/CEST)","30","99","258","13","270","n/e","423"
"BZN|PT","07.01.2017 16:00 - 07.01.2017 17:00 (CET/CEST)","29","210","246","13","206","n/e","419"
"BZN|PT","07.01.2017 17:00 - 07.01.2017 18:00 (CET/CEST)","263","5","606","194","79","n/e","444"
"BZN|PT","07.01.2017 18:00 - 07.01.2017 19:00 (CET/CEST)","1373","4","1199","495","1","n/e","569"
"BZN|PT","07.01.2017 19:00 - 07.01.2017 20:00 (CET/CEST)","1556","4","1327","555","0","n/e","607"
"BZN|PT","07.01.2017 20:00 - 07.01.2017 21:00 (CET/CEST)","1298","2","1078","454","0","n/e","773"
"BZN|PT","07.01.2017 21:00 - 07.01.2017 22:00 (CET/CEST)","1265","1","1033","412","0","n/e","1072"
"BZN|PT","07.01.2017 22:00 - 07.01.2017 23:00 (CET/CEST)","566","6","775","242","0","n/e","1369"
"BZN|PT","07.01.2017 23:00 - 08.01.2017 00:00 (CET/CEST)","136","6","797","94","0","n/e","1539"
