Area;MTU;Solar  - Actual Aggregated [MW];Wind Offshore  - Actual Aggregated [MW];Wind Onshore  - Actual Aggregated [MW]
BZN|PT;01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST);0;8;3394
BZN|PT;01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST);0;8;3409
BZN|PT;01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST);0;9;3548
BZN|PT;01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST);0;12;3661
BZN|PT;01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST);0;17;4057
BZN|PT;01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST);0;17;4002
BZN|PT;01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST);0;9;3878
BZN|PT;01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST);0;15;3752
BZN|PT;01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST);0;17;3449
BZN|PT;01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST);29;17;3311
BZN|PT;01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST);149;17;3369
BZN|PT;01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST);461;13;3412
BZN|PT;01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST);683;1;3389
BZN|PT;01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST);666;1;3928
BZN|PT;01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST);479;2;4077
BZN|PT;01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST);271;6;3957
BZN|PT;01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST);136;3;3617
BZN|PT;01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST);53;2;3109
BZN|PT;01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST);1;3;2456
BZN|PT;01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST);0;6;2014
BZN|PT;01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST);0;4;2009
BZN|PT;01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST);0;7;2182
BZN|PT;01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST);0;6;2362
BZN|PT;01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST);0;3;2042
BZN|PT;02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST);0;3;1500
BZN|PT;02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST);0;4;1078
BZN|PT;02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST);0;2;850
BZN|PT;02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST);0;3;808
BZN|PT;02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST);0;1;890
BZN|PT;02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST);0;2;941
BZN|PT;02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST);0;1;914
BZN|PT;02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST);0;0;885
BZN|PT;02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST);1;0;697
BZN|PT;02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST);107;1;552
BZN|PT;02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST);366;1;345
BZN|PT;02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST);590;2;227
BZN|PT;02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST);837;1;233
BZN|PT;02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST);981;0;256
