"date","smoothed_capacity"
2015-01-01,4486
2015-01-02,4486
2015-01-03,4486
2015-01-04,4486
2015-01-05,4486
2015-01-06,4486
2015-01-07,4486
2015-01-08,4486
2015-01-09,4486
2015-01-10,4486
2015-01-11,4486
2015-01-12,4486
2015-01-13,4486
2015-01-14,4486
2015-01-15,4486
2015-01-16,4486
2015-01-17,4486
2015-01-18,4486
2015-01-19,4486
2015-01-20,4486
2015-01-21,4486
2015-01-22,4486
2015-01-23,4486
2015-01-24,4486
2015-01-25,4486
2015-01-26,4486
2015-01-27,4486
2015-01-28,4486
2015-01-29,4486
2015-01-30,4486
2015-01-31,4486
2015-02-01,4486
2015-02-02,4486
2015-02-03,4486
2015-02-04,4486
2015-02-05,4486
2015-02-06,4486
2015-02-07,4486
2015-02-08,4486
2015-02-09,4486
2015-02-10,4486
2015-02-11,4486
2015-02-12,4486
2015-02-13,4486
2015-02-14,4486
2015-02-15,4486
2015-02-16,4486
2015-02-17,4486
2015-02-18,4486
2015-02-19,4486
2015-02-20,4486
2015-02-21,4486
2015-02-22,4486
2015-02-23,4486
2015-02-24,4486
2015-02-25,4486
2015-02-26,4486
2015-02-27,4486
2015-02-28,4486
2015-03-01,4486
2015-03-02,4486
2015-03-03,4486
2015-03-04,4486
2015-03-05,4486
2015-03-06,4486
2015-03-07,4486
2015-03-08,4486
2015-03-09,4486
2015-03-10,4486
2015-03-11,4486
2015-03-12,4486
2015-03-13,4486
2015-03-14,4486
2015-03-15,4486
2015-03-16,4486
2015-03-17,4486
2015-03-18,4486
2015-03-19,4486
2015-03-20,4486
2015-03-21,4486
2015-03-22,4486
2015-03-23,4486
2015-03-24,4486
2015-03-25,4486
2015-03-26,4486
2015-03-27,4486
2015-03-28,4486
2015-03-29,4486
2015-03-30,4486
2015-03-31,4486
2015-04-01,4486
2015-04-02,4486
2015-04-03,4486
2015-04-04,4486
2015-04-05,4486
2015-04-06,4486
2015-04-07,4486
2015-04-08,4486
2015-04-09,4486
2015-04-10,4486
2015-04-11,4486
2015-04-12,4486
2015-04-13,4486
2015-04-14,4486
2015-04-15,4486
2015-04-16,4486
2015-04-17,4486
2015-04-18,4486
2015-04-19,4486
2015-04-20,4486
2015-04-21,4486
2015-04-22,4486
2015-04-23,4486
2015-04-24,4486
2015-04-25,4486
2015-04-26,4486
2015-04-27,4486
2015-04-28,4486
2015-04-29,4486
2015-04-30,4486
2015-05-01,4486
2015-05-02,4486
2015-05-03,4486
2015-05-04,4486
2015-05-05,4486
2015-05-06,4486
2015-05-07,4486
2015-05-08,4486
2015-05-09,4486
2015-05-10,4486
2015-05-11,4486
2015-05-12,4486
2015-05-13,4486
2015-05-14,4486
2015-05-15,4486
2015-05-16,4486
2015-05-17,4486
2015-05-18,4486
2015-05-19,4486
2015-05-20,4486
2015-05-21,4486
2015-05-22,4486
2015-05-23,4486
2015-05-24,4486
2015-05-25,4486
2015-05-26,4486
2015-05-27,4486
2015-05-28,4486
2015-05-29,4486
